date,time,cpu,memory,read,write
2012/2/14,4:48:00,0,44,0,0
2012/2/14,4:59:00,0,44,0,0
2012/2/14,5:09:00,0,44,0,0
2012/2/14,5:19:00,0,44,0,0
2012/2/14,5:29:00,2,44,0,0
2012/2/14,5:39:00,0,44,0,0
2012/2/14,5:49:00,0,44,0,0
2012/2/14,5:59:00,0,44,0,0
2012/2/14,6:09:00,0,43,0,0
2012/2/14,6:19:00,0,43,0,0
2012/2/14,6:29:00,0,38,0,0
2012/2/14,6:39:00,0,38,0,0
2012/2/14,6:49:00,0,38,0,0
2012/2/14,6:59:00,0,40,0,0
2012/2/14,7:09:00,0,37,0,0
2012/2/14,7:19:00,0,38,0,0
2012/2/14,7:29:00,0,40,0,0
2012/2/14,7:39:00,0,40,0,0
2012/2/14,7:49:00,2,22,0,0
2012/2/14,7:59:00,0,44,21,0
2012/2/14,8:09:00,0,40,0,0
2012/2/14,8:19:00,0,39,0,0
2012/2/14,8:29:00,0,39,0,0
2012/2/14,8:39:00,0,37,0,0
2012/2/14,8:49:00,0,36,0,0
2012/2/14,8:59:00,0,33,0,0
2012/2/14,9:09:00,0,33,0,0
2012/2/14,9:19:00,0,31,0,0
2012/2/14,9:29:00,0,31,0,0
2012/2/14,9:40:00,10,15,0,0
2012/2/14,9:50:00,0,29,0,0
2012/2/14,10:00:00,2,29,0,0
2012/2/14,10:10:00,0,29,0,0
2012/2/14,10:20:00,2,29,0,0
2012/2/14,10:30:00,0,28,0,0
2012/2/14,10:40:00,0,28,0,0
2012/2/14,10:50:00,0,28,0,0
2012/2/14,11:00:00,0,28,0,0
2012/2/14,11:10:00,0,28,0,0
2012/2/14,11:20:00,0,28,0,0
2012/2/14,11:30:00,0,27,0,0
2012/2/14,11:40:00,0,28,0,0
2012/2/14,11:50:00,0,27,0,0
2012/2/14,12:00:00,0,28,0,0
2012/2/14,12:10:00,0,27,0,0
2012/2/14,12:20:00,0,28,0,0
2012/2/14,12:30:00,0,27,0,0
2012/2/14,12:40:00,0,27,0,0
2012/2/14,12:50:00,0,27,0,0
2012/2/14,13:00:00,5,26,80,0
2012/2/14,13:10:00,2,26,0,0
2012/2/14,13:20:00,0,26,0,0
2012/2/14,13:30:00,0,26,0,0
2012/2/14,13:40:00,0,26,0,0
2012/2/14,13:50:00,0,27,0,0
2012/2/14,14:00:00,0,26,0,0
2012/2/14,14:10:00,0,26,0,0
2012/2/14,14:21:00,5,26,0,0
2012/2/14,14:31:00,0,26,0,0
2012/2/14,14:41:00,2,26,0,0
2012/2/14,14:51:00,0,26,0,0
2012/2/14,15:01:00,0,26,0,0
2012/2/14,15:11:00,0,26,0,0
2012/2/14,15:21:00,0,26,0,0
2012/2/14,15:31:00,0,26,0,0
2012/2/14,15:41:00,0,26,0,0
2012/2/14,15:51:00,0,26,0,0
2012/2/14,16:01:00,0,26,0,0
